service,API,endpoint,parsing
learn,Retrieves all the visible content of given catalogs for the calendar widget,GET | /learn/v1/catalog_content/internal/calendar,_links:goto:href
learn,Retrieves all the visible content of given catalogs for the calendar widget,GET | /learn/v1/catalog_content/internal/calendar,_links:first:href
learn,Retrieves all the visible content of given catalogs for the calendar widget,GET | /learn/v1/catalog_content/internal/calendar,_links:last:href
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:count
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:has_more_data
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:cursor
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:current_page_size
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:total_page_count
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:total_count
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:sub_items:0:item_id
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:sub_items:0:item_type
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:sub_items:0:item_type_int
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:sub_items:0:item_code
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:sub_items:0:item_name
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:sub_items:0:item_slug
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:sub_items:0:item_description
learn,Retrieves content of the given catalog,GET | /learn/v1/catalog_content/internal/{catalog_id},data:items:0:data:sub_items:0:item_category
